Compound_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
Com_9186_pos,7579043.672,12046811.03,9824030.066,9627885.754,7211330.578,8173138.312,23438818.56,5351514.745,15015903.7,4998296.685,8479153.657,9126499.054,5324853.251,7785393.898,7215736.066,68690230.26,36561361.22,74525948.07,81622136.6,54956346.44,38864145.45,35262170.02,41434673.53,53876574.85,24814731.17,16836169.37,15194160.51,26500577.37,15166446.05,3371780.076,24766029.61,22040698.78
Com_9207_pos,609458.1196,1053453.5,1740970.846,821683.159,502288.2133,842588.9058,605278.6799,767481.565,289536.7472,787936.9761,334911.7695,674462.7458,394880.2744,355375.1547,214047.4998,3384272.549,3552636.814,2272187.242,4506994.505,7720122.312,2359432.682,1051857.192,3672416.16,6269631.329,3801711.193,2896907.81,1711262.847,5191143.009,1968321.188,390589.7239,45615773.52,10545761.54
Com_9226_pos,11106708.42,6802276.304,7462758.271,3797504.275,4478406.377,7779796.426,18280073.89,5265234.397,8696214.975,5073768.628,13858728,21111912.85,8982416.033,3829253.28,23054877.09,13154650.32,7380636.148,10258556.21,10860767.09,10984010.81,8206508.724,6621600.53,4639089.983,4802568.407,6745710.604,4160865.856,6821189.896,9210679.396,5807471.852,4079148.379,4482204.906,16989051.85
Com_9268_pos,33466320.93,3567657.708,4232464.965,5627048.668,2189746.965,7279122.603,47406140.62,5365304.315,4214040.745,2406362.286,2531272.997,11683326.21,3159819.448,1924173.378,5081926.74,10057008.24,14756712.73,16904104.58,25462082.75,12674735.85,10322462.5,6881079.246,13190051.11,8873887.806,17054643.58,5011552.719,5430243.261,11632919.75,3157110.212,8165658.793,45311589.37,15176371.63
Com_9408_pos,213707.194,748980.754,1313030.867,480377.5462,616783.8721,271703.9282,672220.7001,350257.1991,5650370.927,20790381.59,16950529.58,501603.299,312937.7367,510184.5362,15333487.55,1032116.426,683179.7075,530144.6796,476086.5331,1298673.225,667123.2139,1268133.093,2429668.462,950511.9503,6294603.354,2265551.972,44169362.12,34967769.53,22054631.02,2916445.561,6098916.029,27831885.42
Com_9604_pos,7751758.683,500647.7677,998987.0568,1699363.651,667267.4436,667464.1356,1586121.157,865395.108,1156846.118,611131.7794,2346336.922,1063783.769,4095619.085,1391732.381,424295.9697,1184589.19,857733.081,946013.6159,797041.9244,578256.9174,1128632.084,522284.4658,747194.3708,496743.0867,512932.1226,391770.6883,480944.2014,496573.5432,275583.9652,491455.8181,278816.0622,343682.2826
Com_9608_pos,814750.6668,2296282.112,3149728.619,574350.8722,621970.5718,582331.363,995640.1869,821874.5898,17970097.46,21742978.38,2851806.954,1741198.543,731093.9117,601777.223,13784945.05,1829863.997,1838494.769,1520494.46,855650.3643,954988.9535,892108.2622,2071359.863,5079014.685,791223.3324,19785704.91,3882715.094,27866451.88,11047030.41,61541690.87,2540203.194,2574580.058,24553835.33
Com_9618_pos,5058547.787,6229490.285,6739099.513,2748070.947,5757629.233,5442504.532,25054554.56,5943048.508,36275922.39,19061746.29,7043840.414,6498913.879,4957351.854,5746684.396,15653414.67,48430174.26,5860594.208,10331084.05,7712734.374,9155245.046,6655094.844,7285919.872,4148532.513,6165797.145,6221298.553,7682037.109,8016764.579,9785235.262,5086741.192,7390336.535,9569174.62,7794030.456
Com_9664_pos,3526072.522,5814633.731,5421253.656,4743106.506,3084611.147,8620613.572,44049250.85,7635822.253,36091972.62,10050379.58,8386112.208,9514472.39,6518230.701,4506007.208,12683326.87,14401853.65,2323372.228,2698297.554,2592250.526,1773888.03,2469639.952,1941239.67,1209443.805,2103653.561,3015546.326,1913704.129,2302598.326,2176938.086,1749165.231,2514429.213,2672895.541,1322120.312
Com_9695_pos,1236074.13,3370588.059,2770975.25,956842.8613,1430810.989,1717507.019,4306673.369,3007007.199,35911508.86,48839222.77,983467.3493,997268.1382,1128132.774,1183912.845,21949218.68,4169784.121,2117931.469,2216903.718,1950178.952,4001369.296,2537459.948,1742487.512,1263692.147,1775885.896,1614689.054,1352299.59,1149156.26,1619595.192,1393995.108,1376322.791,870022.3052,991542.5752
